empresa;abertura;data_atendimento;tempo_horas
CRE;2025-02-01 00:11:00;2025-02-10 13:20:00;229,15
HGL;2025-02-01 00:15:00;2025-02-20 08:40:00;464,4166666666667
CRE;2025-02-01 00:11:00;2025-02-03 15:40:00;63,483333333333334
HGL;2025-02-01 00:15:00;2025-02-03 08:20:00;56,083333333333336
HDS;2025-02-01 00:11:00;2025-02-12 12:07:00;275,93333333333334
HDS;2025-02-01 00:11:00;2025-02-10 08:56:00;224,75
CRE;2025-02-01 00:11:00;2025-02-21 17:20:00;497,15
HGL;2025-02-01 00:16:00;2025-02-27 08:15:00;631,9833333333333
HCD;2025-02-01 00:12:00;2025-02-10 10:00:00;225,8
HCD;2025-02-01 00:14:00;2025-02-17 13:45:00;397,51666666666665
HCD;2025-02-01 00:13:00;2025-02-07 15:30:00;159,28333333333333
HDS;2025-02-01 00:12:00;2025-02-12 15:37:00;279,4166666666667
CRE;2025-02-03 13:18:00;2025-02-04 08:50:00;19,533333333333335
HGL;2025-02-03 00:00:00;2025-02-03 07:00:00;7,0
CRE;2025-02-03 15:00:00;2025-02-03 17:00:00;2,0
HGL;2025-02-01 00:17:00;2025-02-06 10:45:00;130,46666666666667
HDS;2025-02-01 00:12:00;2025-03-08 10:27:00;850,25
HGL;2025-02-01 00:16:00;2025-02-05 09:00:00;104,73333333333333
HDS;2025-02-01 00:11:00;2025-02-10 12:52:00;228,68333333333334
HGL;2025-02-01 00:15:00;2025-02-25 08:30:00;584,25
HGL;2025-02-01 00:15:00;2025-02-25 11:00:00;586,75
HGL;2025-02-01 00:16:00;2025-02-26 17:10:00;616,9
HGL;2025-02-01 00:17:00;2025-02-05 10:15:00;105,96666666666667
HCD;2025-02-01 00:13:00;2025-02-06 11:30:00;131,28333333333333
HCD;2025-02-01 00:14:00;2025-02-27 08:00:00;631,7666666666667
HCD;2025-02-03 00:00:00;2025-02-03 07:00:00;7,0
CRE;2025-02-03 08:00:00;2025-02-17 14:10:00;342,1666666666667
HCD;2025-02-01 00:12:00;2025-02-28 14:00:00;661,8
HCD;2025-02-01 14:28:00;2025-02-01 14:29:00;0,016666666666666666
HGL;2025-02-01 00:17:00;2025-02-21 09:50:00;489,55
HCD;2025-02-01 00:12:00;2025-02-24 09:00:00;560,8
HGL;2025-02-02 09:27:00;2025-02-02 09:29:00;0,03333333333333333
HDS;2025-02-12 01:00:00;2025-02-12 08:34:00;7,566666666666666
CRE;2025-02-03 08:10:00;2025-02-03 09:00:00;0,8333333333333334
HDS;2025-02-01 00:12:00;2025-03-02 08:05:00;703,8833333333333
HCD;2025-02-01 00:14:00;2025-02-14 08:25:00;320,18333333333334
HGL;2025-02-02 00:00:00;2025-02-04 11:30:00;59,5
HGL;2025-02-01 00:17:00;2025-02-14 08:40:00;320,3833333333333
HCD;2025-02-01 00:12:00;2025-02-27 13:20:00;637,1333333333333
HGL;2025-02-01 00:16:00;2025-02-26 08:55:00;608,65
HDS;2025-02-01 00:12:00;2025-02-27 13:59:00;637,7833333333333
CRE;2025-02-01 00:11:00;2025-02-03 10:30:00;58,31666666666667
HCD;2025-02-01 00:13:00;2025-02-18 08:40:00;416,45
CRE;2025-02-01 00:11:00;2025-02-25 15:20:00;591,15
HCD;2025-02-01 00:14:00;2025-02-14 08:00:00;319,76666666666665
CRE;2025-02-01 00:11:00;2025-02-07 13:00:00;156,81666666666666
CRE;2025-02-01 00:11:00;2025-02-20 09:40:00;465,48333333333335
HCD;2025-02-01 00:15:00;2025-02-01 20:00:00;19,75
CRE;2025-02-01 00:11:00;2025-02-20 10:00:00;465,81666666666666
HCD;2025-02-01 00:12:00;2025-02-11 10:00:00;249,8
HCD;2025-02-01 00:13:00;2025-02-24 13:45:00;565,5333333333333
HGL;2025-02-01 00:15:00;2025-02-10 09:20:00;225,08333333333334
HDS;2025-02-01 00:12:00;2025-02-10 14:32:00;230,33333333333334
CRE;2025-02-03 08:11:00;2025-02-20 13:40:00;413,48333333333335
HCD;2025-02-01 00:14:00;2025-02-18 08:15:00;416,01666666666665
HDS;2025-02-01 00:12:00;2025-02-01 08:29:00;8,283333333333333
HCD;2025-02-01 00:12:00;2025-02-01 08:00:00;7,8
HDS;2025-02-01 00:12:00;2025-02-11 15:37:00;255,41666666666666
HGL;2025-02-01 00:15:00;2025-02-14 08:10:00;319,9166666666667
HCD;2025-02-03 18:15:00;2025-02-03 18:50:00;0,5833333333333334
CRE;2025-02-01 00:11:00;2025-02-03 17:10:00;64,98333333333333
HCD;2025-02-01 00:15:00;2025-02-01 22:00:00;21,75
HGL;2025-02-01 00:15:00;2025-02-20 08:15:00;464,0
HDS;2025-02-01 00:12:00;2025-03-09 08:00:00;871,8
HGL;2025-02-01 00:17:00;2025-02-19 11:15:00;442,96666666666664
HGL;2025-02-01 00:16:00;2025-02-05 09:00:00;104,73333333333333
CRE;2025-02-01 00:11:00;2025-02-21 15:30:00;495,31666666666666
HCD;2025-02-01 00:13:00;2025-02-21 09:30:00;489,28333333333336
HGL;2025-02-01 00:15:00;2025-02-25 10:05:00;585,8333333333334
CRE;2025-02-01 00:11:00;2025-02-03 11:00:00;58,81666666666667
HDS;2025-02-01 00:12:00;2025-02-18 14:56:00;422,73333333333335
HGL;2025-02-01 00:16:00;2025-02-26 17:15:00;616,9833333333333
HCD;2025-02-01 00:14:00;2025-02-19 09:20:00;441,1
CRE;2025-02-01 00:11:00;2025-02-03 10:40:00;58,483333333333334
HCD;2025-02-01 00:15:00;2025-02-25 08:00:00;583,75
HGL;2025-02-01 00:17:00;2025-02-06 08:00:00;127,71666666666667
CRE;2025-02-01 00:11:00;2025-02-26 10:48:00;610,6166666666667
HCD;2025-02-02 00:00:00;2025-02-02 07:00:00;7,0
HGL;2025-02-01 21:48:00;2025-02-01 21:50:00;0,03333333333333333
HCD;2025-02-01 00:13:00;2025-02-15 12:30:00;348,28333333333336
HCD;2025-02-01 00:15:00;2025-02-01 07:00:00;6,75
CRE;2025-02-01 00:11:00;2025-02-13 13:30:00;301,31666666666666
HGL;2025-02-01 00:17:00;2025-02-05 16:40:00;112,38333333333334
HGL;2025-02-01 00:16:00;2025-02-25 13:50:00;589,5666666666667
CRE;2025-02-01 00:11:00;2025-02-07 09:30:00;153,31666666666666
HCD;2025-02-03 07:54:00;2025-02-03 09:30:00;1,6
HCD;2025-02-01 00:13:00;2025-02-19 08:50:00;440,6166666666667
HGL;2025-02-01 00:17:00;2025-02-05 09:30:00;105,21666666666667
HCD;2025-02-01 00:15:00;2025-02-01 11:30:00;11,25
HCD;2025-02-01 00:12:00;2025-02-25 08:30:00;584,3
HCD;2025-02-01 00:15:00;2025-02-20 09:20:00;465,0833333333333
HGL;2025-02-01 00:16:00;2025-02-26 08:45:00;608,4833333333333
HCD;2025-02-01 00:12:00;2025-02-10 13:30:00;229,3
HCD;2025-02-03 00:00:00;2025-02-09 06:00:00;150,0
CRE;2025-02-01 00:11:00;2025-02-03 16:00:00;63,81666666666667
HCD;2025-02-01 00:14:00;2025-02-05 08:05:00;103,85
CRE;2025-02-01 00:11:00;2025-02-07 09:30:00;153,31666666666666
HGL;2025-02-01 00:16:00;2025-02-27 11:00:00;634,7333333333333
HCD;2025-02-01 00:13:00;2025-02-15 12:30:00;348,28333333333336
CRE;2025-02-03 10:49:00;2025-02-04 03:00:00;16,183333333333334
HGL;2025-02-01 00:15:00;2025-02-10 09:40:00;225,41666666666666
HCD;2025-02-01 00:15:00;2025-02-26 07:35:00;607,3333333333334
CRE;2025-02-01 00:11:00;2025-02-28 10:30:00;658,3166666666667
HDS;2025-02-01 00:11:00;2025-02-10 12:32:00;228,35
HGL;2025-02-01 00:17:00;2025-02-25 09:15:00;584,9666666666667
HCD;2025-02-01 00:14:00;2025-02-21 08:00:00;487,76666666666665
CRE;2025-02-01 00:11:00;2025-02-03 08:20:00;56,15
CRE;2025-02-01 00:11:00;2025-02-19 16:30:00;448,31666666666666
HCD;2025-02-03 22:03:00;2025-02-03 23:10:00;1,1166666666666667
HCD;2025-02-01 00:13:00;2025-02-19 10:00:00;441,78333333333336
HCD;2025-02-01 00:12:00;2025-02-14 13:00:00;324,8
HGL;2025-02-01 00:16:00;2025-02-26 11:55:00;611,65
HCD;2025-02-01 00:14:00;2025-02-13 09:30:00;297,26666666666665
HDS;2025-02-01 00:12:00;2025-02-11 14:55:00;254,71666666666667
HCD;2025-02-01 00:12:00;2025-02-19 15:20:00;447,1333333333333
CRE;2025-02-01 00:11:00;2025-02-07 09:00:00;152,81666666666666
HCD;2025-02-03 11:00:00;2025-02-03 11:10:00;0,16666666666666666
HDS;2025-02-01 00:11:00;2025-02-10 08:40:00;224,48333333333332
HGL;2025-02-01 00:16:00;2025-02-26 14:45:00;614,4833333333333
CRE;2025-02-01 00:11:00;2025-02-03 12:10:00;59,983333333333334
HGL;2025-02-01 00:15:00;2025-02-24 08:50:00;560,5833333333334
CRE;2025-02-01 00:11:00;2025-02-25 13:20:00;589,15
HDS;2025-02-01 00:11:00;2025-02-10 09:56:00;225,75
HCD;2025-02-01 00:15:00;2025-02-26 14:30:00;614,25
